;T2M_RANGE;TS;T2MDEW;T2MWET;T2M_MAX;T2M_MIN;T2M;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
20000101;5.66;2.52;2.87;2.9;6.67;1.01;2.95;4.7;98.69;0.2;100.17;3.57;5.19;1.85;3.34;5.56;8.41;2.27;6.16
20000102;4.95;5.44;5.4;5.54;8.47;3.51;5.69;5.62;97.88;0.85;99.94;6.15;11.05;4.12;6.93;8.51;14.91;5.31;9.6
20000103;5.12;5.52;5.33;5.63;8.59;3.48;5.92;5.62;95.88;1.98;99.27;6.57;11.39;4.73;6.66;9.22;15.27;6.05;9.21
20000104;3.34;2.21;1.82;2.18;3.82;0.48;2.54;4.39;95.0;2.88;98.88;6.97;8.88;4.88;4.01;9.43;12.71;6.25;6.45
20000105;9.59;4.58;4.23;4.55;9.42;-0.17;4.86;5.37;95.62;1.81;98.45;10.12;13.34;6.47;6.87;13.41;17.73;8.42;9.3
20000106;7.25;4.51;4.23;4.64;8.79;1.54;5.05;5.25;94.06;0.82;98.68;7.12;11.32;3.05;8.27;10.25;15.43;6.47;8.96
20000107;5.75;5.56;5.1;5.49;7.62;1.87;5.89;5.55;94.62;2.85;98.74;10.08;12.74;6.02;6.73;13.38;16.9;7.83;9.07
20000108;3.59;3.07;2.31;3.0;5.64;2.05;3.69;4.52;90.62;0.44;99.07;7.29;8.13;6.1;2.03;10.5;11.83;9.12;2.7
20000109;5.83;0.49;0.93;1.06;4.2;-1.63;1.2;4.09;96.25;0.19;100.38;4.26;6.26;2.64;3.62;6.83;9.19;5.21;3.98
20000110;6.31;1.55;1.52;1.64;5.0;-1.31;1.75;4.27;98.12;1.23;100.76;6.53;8.42;3.38;5.05;8.77;11.47;6.57;4.89
20000111;3.31;6.81;6.62;6.9;8.45;5.14;7.17;6.04;96.19;3.8;100.39;8.86;11.41;6.48;4.94;11.96;14.98;9.11;5.88
20000112;5.0;5.65;5.3;5.6;7.1;2.1;5.9;5.62;95.94;18.59;99.48;6.98;10.84;1.96;8.88;9.37;14.28;2.51;11.77
